Timestamp,CPU Usage,RAM Usage,GPU Utilization,GPU Memory Utilization,GPU Temperature,VRAM Usage,GPU Power,GPU Clock,GPU Memory Clock
2026-09-23 22:55:24,10.79,55.62,0.00,0.00,50,3.27,9.74,1500,5871
2026-09-23 22:55:26,28.04,55.71,0.00,0.00,50,3.27,9.10,1500,5871
2026-09-23 22:55:27,23.86,55.65,0.00,0.00,50,3.27,9.05,1500,5871
2026-09-23 22:55:29,8.13,55.62,0.00,0.00,50,3.27,9.03,1500,5871
2026-09-23 22:55:31,8.45,55.57,0.00,0.00,50,3.27,8.91,1500,5871
2026-09-23 22:55:33,7.37,55.55,0.00,0.00,50,3.27,8.84,1500,5871
2026-09-23 22:55:35,8.21,55.56,0.00,0.00,50,3.27,8.84,1500,5871
2026-09-23 22:55:36,8.88,55.58,0.00,0.00,50,3.27,8.85,1500,5871
2026-09-23 22:55:38,12.96,55.60,0.00,0.00,50,3.27,8.89,1500,5871
2026-09-23 22:55:40,7.04,55.41,0.00,0.00,50,3.27,8.95,1500,5871
2026-09-23 22:55:41,7.25,55.37,0.00,0.00,50,3.27,8.91,1500,5871
2026-09-23 22:55:43,9.03,55.18,0.00,0.00,50,3.27,9.07,1500,5871
2026-09-23 22:55:45,7.21,55.30,0.00,0.00,50,3.27,8.83,1500,5871
2026-09-23 22:55:47,8.54,55.33,0.00,0.00,50,3.27,8.88,1500,5871
2026-09-23 22:55:49,7.63,55.36,0.00,0.00,50,3.27,8.80,1500,5871
2026-09-23 22:55:51,9.18,55.37,0.00,0.00,50,3.27,8.84,1500,5871
2026-09-23 22:55:52,12.49,55.48,0.00,0.00,50,3.27,9.61,1500,5871
2026-09-23 22:55:54,14.42,55.44,0.00,0.00,50,3.27,9.15,1500,5871
2026-09-23 22:55:56,8.01,55.45,0.00,0.00,50,3.27,9.69,1500,5871
2026-09-23 22:55:57,10.76,55.36,0.00,0.00,50,3.27,9.21,1500,5871
2026-09-23 22:55:59,10.53,55.40,0.00,0.00,50,3.27,8.92,1500,5871
2026-09-23 22:56:01,9.69,55.48,0.00,0.00,50,3.27,8.92,1500,5871
2026-09-23 22:56:03,9.74,55.27,0.00,0.00,50,3.27,8.90,1500,5871
2026-09-23 22:56:05,9.15,55.30,0.00,0.00,50,3.27,8.77,1500,5871
2026-09-23 22:56:06,9.69,55.36,0.00,0.00,50,3.27,9.22,1500,5871
2026-09-23 22:56:08,9.76,55.21,0.00,0.00,50,3.27,8.97,1500,5871
2026-09-23 22:56:10,7.19,55.18,0.00,0.00,50,3.27,8.92,1500,5871
2026-09-23 22:56:11,8.28,55.17,0.00,0.00,50,3.27,8.93,1500,5871
2026-09-23 22:56:13,7.73,55.15,0.00,0.00,50,3.27,9.14,1500,5871
2026-09-23 22:56:15,15.60,55.58,0.00,0.00,50,3.27,8.97,1500,5871
2026-09-23 22:56:17,8.40,55.63,0.00,0.00,50,3.27,8.77,1500,5871
2026-09-23 22:56:19,8.86,55.57,0.00,0.00,50,3.27,9.27,1500,5871
2026-09-23 22:56:20,12.71,55.65,0.00,0.00,50,3.27,9.25,1500,5871
2026-09-23 22:56:22,6.74,55.58,0.00,0.00,49,3.27,8.86,1500,5871
2026-09-23 22:56:24,6.18,55.56,0.00,0.00,50,3.27,8.87,1500,5871
2026-09-23 22:56:25,8.09,55.48,0.00,0.00,50,3.27,8.90,1500,5871
2026-09-23 22:56:27,7.96,55.51,0.00,0.00,49,3.27,8.84,1500,5871
2026-09-23 22:56:29,8.52,55.44,0.00,0.00,49,3.27,8.81,1500,5871
2026-09-23 22:56:31,8.66,55.54,0.00,0.00,49,3.27,8.85,1500,5871
2026-09-23 22:56:33,8.52,55.48,0.00,0.00,49,3.27,8.94,1500,5871
2026-09-23 22:56:34,17.02,55.58,0.00,0.00,49,3.27,9.67,1500,5871
2026-09-23 22:56:36,8.66,55.49,0.00,0.00,49,3.27,8.89,1500,5871
2026-09-23 22:56:38,7.15,55.51,0.00,0.00,49,3.27,8.95,1500,5871
2026-09-23 22:56:40,8.36,55.51,0.00,0.00,49,3.27,8.84,1500,5871
2026-09-23 22:56:41,7.07,55.49,0.00,0.00,49,3.27,8.86,1500,5871
2026-09-23 22:56:43,10.69,55.02,0.00,0.00,49,3.27,8.81,1500,5871
2026-09-23 22:56:45,10.06,54.91,0.00,0.00,49,3.27,8.70,1500,5871
2026-09-23 22:56:47,12.94,54.82,0.00,0.00,49,3.27,8.91,1500,5871
2026-09-23 22:56:48,12.38,55.00,0.00,0.00,49,3.27,9.04,1500,5871
2026-09-23 22:56:50,24.06,49.99,0.00,0.00,49,3.27,8.86,1500,5871
